17,1	0,4785	190,5	NAN	
17,2	0,4815	192	NAN	
17,3	0,4845	193,5	NAN	
17,4	0,4875	195,5	NAN	
17,5	0,4905	197	NAN	
17,6	0,4935	198,5	NAN	
17,7	0,501	200,5	NAN	
17,8	0,501	201,5	NAN	
17,9	0,5025	203	NAN	
18	0,507	204,5	NAN	
18,1	0,51	205,5	NAN	
18,2	0,5145	207,5	NAN	
18,3	0,519	209	NAN	
18,4	0,522	211	NAN	
18,5	0,525	212,5	NAN	
18,6	0,528	213,5	NAN	
18,7	0,5295	214	NAN	
18,8	0,531	215	NAN	
18,9	0,5325	215,5	NAN	
19	0,5355	217	NAN	
19,1	0,5385	218	NAN	
19,2	0,543	219	NAN	
19,3	0,543	220	NAN	
19,4	0,543	220,5	NAN	
19,5	0,5445	221,5	NAN	
19,6	0,5475	222,5	NAN	
19,7	0,5505	223,5	NAN	
19,8	0,5535	224,5	NAN	
19,9	0,5565	225,5	NAN	
20	0,558	227	NAN	
20,1	0,5595	227,5	NAN	
20,2	0,5655	229,5	NAN	
20,3	0,57	231	NAN	
20,4	0,57	232,5	NAN	
20,5	0,5745	234	NAN	
20,6	0,576	234,5	NAN	
20,7	0,579	235,5	NAN	
20,8	0,5805	237	NAN	
20,9	0,582	237,5	NAN	
21	0,5865	238,5	NAN	
21,1	0,5895	240	NAN	
21,2	0,5895	241,5	NAN	
21,3	0,5925	242	NAN	
21,4	0,5925	243,5	NAN	
21,5	0,5985	244,5	NAN	
21,6	0,603	246	NAN	
21,7	0,6045	247,5	NAN	
21,8	0,6075	248,5	NAN	
21,9	0,6105	250	NAN	
22	0,615	251	NAN	
22,1	0,618	252,5	NAN	
22,2	0,621	254	NAN	
22,3	0,6255	256	NAN	
22,4	0,627	256,5	NAN	
22,5	0,6285	258	NAN	
22,6	0,6315	259	NAN	
22,7	0,6345	260	NAN	
22,8	0,6375	261,5	NAN	
22,9	0,639	262	NAN	
23	0,6405	263	NAN	
23,1	0,6435	264	NAN	
23,2	0,6435	264,5	NAN	
23,3	0,6465	265,5	NAN	
23,4	0,645	266	NAN	
23,5	0,6495	267	NAN	
23,6	0,6525	268	NAN	
23,7	0,6525	268,5	NAN	
23,8	0,657	269,5	NAN	
23,9	0,66	271	NAN	
24	0,6615	271,5	NAN	
24,1	0,663	272,5	NAN	
24,2	0,6645	273,5	NAN	
24,3	0,6645	274	NAN	
24,4	0,6675	274,5	NAN	
24,5	0,6705	275,5	NAN	
24,6	0,672	276,5	NAN	
24,7	0,6735	277	NAN	
24,8	0,675	278	NAN	
24,9	0,678	279,5	NAN	
25	0,6825	280,5	NAN	
25,1	0,6825	281	NAN	
25,2	0,6855	281,5	NAN	
25,3	0,687	282,5	NAN	
25,4	0,6855	283	NAN	
25,5	0,6885	283,5	NAN	
25,6	0,6915	284	NAN	
25,7	0,6915	285	NAN	
25,8	0,6945	286	NAN	
25,9	0,6975	287	NAN	
26	0,699	288	NAN	
26,1	0,7005	289,5	NAN	
26,2	0,705	290,5	NAN	
26,3	0,7065	291	NAN	
26,4	0,708	291,5	NAN	
26,5	0,7095	292,5	NAN	
26,6	0,711	293	NAN	
26,7	0,711	294	NAN	
26,8	0,714	294	NAN	
26,9	0,714	294,5	NAN	
27	0,717	295	NAN	
27,1	0,7155	295,5	NAN	
27,2	0,717	296	NAN	
27,3	0,72	296,5	NAN	
