0.7 1.6 27
1.5 1.6 27
6.4 1.5 25
9.7 1.4 24
14.3 1.3 23
18.3 1.2 21
22.9 1.1 20
27.3 1.1 19
31.2 1 18
34.9 1 17
38.3 0.9 17
49 0.8 15
62.3 0.7 13
77.6 0.6 11
100.3 0.4 9
88.4 0.5 10
132.1 0.3 6
161.7 0.2 5
200 0.1 3
