1000 0 0 0
951 0.1 0 0.1
921 0.2 0.1 0.15
892 0.3 0.1 0.2
866 0.4 0.2 0.3 
838 0.5 0.2 0.4 
702 1 0.4 0.65
574 1.5 0.5 0.9
440 2 0.7 1.3
314 2.5 1 1.6 
190 3 1.4 2.2
60 3.5 2.4 3
