0 0.02 0.0019
5 0.031 0.171
10 0.057 0.165
15 0.076 0.157
20 0.095 0.145
25 0.108 0.134
30 0.12 0.124
35 0.129 0.113
40 0.135 0.108
45 0.141 0.1
50 0.149 0.09
100 0.171 0.037
200 0.181 0.028
300 0.183 0.019
400 0.185 0.014
500 0.185 0.01
600 0.186 0.008
700 0.186 0.006
800 0.187 0.005
900 0.187 0.005
1000 0.188 0.004
