0 0.027 0.00143
20 0.167 0.060
40 0.179 0.031
60 0.183 0.02
80 0.184 0.014
100 0.185 0.010
120 0.185 0.008
140 0.185 0.006
160 0.186 0.005
180 0.186 0.004
200 0.186 0.003
1e19 0.188 0 
