100 36
200 38
300 40
400 43
500 50
520 54
540 58
560 64
580 80
600 90
620 146
640 166
650 190
655 195
660 194
665 186
670 175
680 146
690 120
700 102
750 57
800 45
900 34
1000 26
1250 21
1500 20
2000 19
