200 3.384
250 3.328
300 3.25
350 3.136
400 2.972
450 2.738
500 2.406
550 1.948
575 1.664
600 1.36
625 1.03
650 0.698
675 0.405
700 0.337
725 0.556
750 0.84
800 1.37
850 1.793
900 2.118
950 2.368
1000 2.55
1200 2.86
1400 3.147
1600 3.24
1800 3.296
2000 3.333
2500 3.382
3000 3.406
3500 3.416
4000 3.426
4500 3.43
5000 3.433
